product_id,product_name,category,subcategory,cost_price
P0457,Ward-Singh Lamp,Home,Lamp,46880
P0458,Fischer-Blackwell Smart Watch,Electronics,Smart Watch,16136
P0459,"Shaw, Farley And King Lamp",Home,Lamp,50276
P0460,Sanchez-Wright Lamp,Home,Lamp,27510
P0461,Bell And Sons Shoes,Clothing,Shoes,17959
P0462,"Watson, Carter And Morrison Football",Sports,Football,57358
P0463,"Jackson, Estrada And Wright Shoes",Clothing,Shoes,43047
P0464,Hines-Mcclure Shirt,Clothing,Shirt,35123
P0465,Perez Group Chair,Home,Chair,53485
P0466,Smith Plc Cricket Bat,Sports,Cricket Bat,14264
P0467,Casey Ltd Football,Sports,Football,25676
P0468,Ford-Torres Cricket Bat,Sports,Cricket Bat,36892
P0469,"Reyes, Holden And Garcia Jacket",Clothing,Jacket,67169
P0470,Simon-Pratt Sofa,Home,Sofa,47754
P0471,"Tran, Long And Richards Jacket",Clothing,Jacket,72225
P0472,Mason Ltd Cricket Bat,Sports,Cricket Bat,83777
P0473,Novak Inc Football,Sports,Football,22895
P0474,Edwards Plc Comics,Books,Comics,93242
P0475,Calhoun-Vang Comics,Books,Comics,34783
P0476,"Jones, Peterson And Lopez Jacket",Clothing,Jacket,16630
P0477,Torres-Fleming Comics,Books,Comics,55388
P0478,Brown And Sons Sofa,Home,Sofa,68789
P0479,Lang-Thomas Novel,Books,Novel,39368
P0480,"West, Brown And Murray Mobile",Electronics,Mobile,84391
P0481,"Booth, Khan And Lawson Shoes",Clothing,Shoes,58434
P0482,"Gordon, Brown And Rogers Headphones",Electronics,Headphones,42922
P0483,"Brown, Jackson And Hall Chair",Home,Chair,28150
P0484,Berger-Johnson Cricket Bat,Sports,Cricket Bat,22323
P0485,Kelly Ltd Badminton,Sports,Badminton,28327
P0486,"Berg, Rodriguez And Stafford Comics",Books,Comics,6117
P0487,"Greene, Evans And Butler Headphones",Electronics,Headphones,30617
P0488,Johns-Gray Gym Equipment,Sports,Gym Equipment,12735
P0489,Blackburn-Torres Jacket,Clothing,Jacket,97236
P0490,Edwards Inc Cricket Bat,Sports,Cricket Bat,38751
P0491,Johnson Llc Chair,Home,Chair,66658
P0492,Tyler Plc Shirt,Clothing,Shirt,31842
P0493,Zavala-Shields Shoes,Clothing,Shoes,12144
P0494,Harrington-Holt Headphones,Electronics,Headphones,68707
P0495,Goodman-Barnett Laptop,Electronics,Laptop,95021
P0496,Carney-Harris Table,Home,Table,59073
P0497,Johnson-Davies Novel,Books,Novel,50183
P0498,Maddox-Tate Jeans,Clothing,Jeans,30706
P0499,Kim And Sons Comics,Books,Comics,33520
P0500,Carlson-Sandoval Badminton,Sports,Badminton,19006
